Albany NY,1704,265
Albuquerque NM,756,603
Amarillo TX,927,618
Annapolis MD,1650,432
Atlanta GA,1469,629
Augusta ME,1802,150
Austin TX,1034,802
Baton Rouge LA,1220,793
Beverly Hills CA,397,577
Billings MT,737,202
Biloxi MS,1323,784
Birmingham AL,1386,662
Bismarck ND,952,181
Boise ID,558,265
Boston MA,1781,246
Brownsville TX,1050,979
Buffalo NY,1566,272
Carson City NV,399,390
Casper WY,766,295
Cedar Rapids IA,1206,351
Charleston SC,1612,665
Charleston WV,1531,471
Charlotte NC,1565,584
Cheyenne WY,829,374
Chicago IL,1333,359
Cincinnati OH,1444,453
Coeur d'Alene ID,559,164
Colorado Springs CO,882,474
Columbia SC,1561,620
Columbus GA,1445,689
Columbus OH,1467,396
Concord NH,1758,218
Corpus Christi TX,1046,895
Dallas TX,1077,729
Denver CO,838,429
Des Moines IA,1155,375
Detroit MI,1462,310
Dover DE,1687,419
Duluth MN,1191,180
El Paso TX,760,738
Erie PA,1543,321
Escanaba MI,1328,197
Eugene OR,348,184
Eureka CA,293,305
Fargo ND,1067,180
Flagstaff AZ,614,576
Fort Lauderdale FL,1642,897
Fort Myers FL,1576,901
Fort Smith AR,1146,625
Fort Worth TX,1054,721
Frankfort KY,1450,488
Fresno CA,394,489
Grand Forks ND,1063,136
Grand Junction CO,725,459
Green Bay WI,1311,260
Greensboro NC,1587,541
Harrisburg PA,1622,361
Hartford CT,1744,288
Helena MT,663,167
Henderson NV,535,537
Houston TX,1117,835
Idaho Falls ID,657,315
Indianapolis IN,1374,421
Jackson MS,1287,728
Jacksonville FL,1571,777
Jefferson City MO,1208,489
Kansas City MO,1154,473
Knoxville TN,1476,562
Lansing MI,1393,320
Laredo TX,966,895
Las Cruces NM,743,721
Las Vegas NV,521,523
Lincoln NE,1056,410
Little Rock AR,1215,648
Los Angeles CA,412,595
Louisville KY,1383,500
Lubbock TX,921,689
Madison WI,1275,310
Manhattan KS,1068,472
Medford OR,343,254
Memphis TN,1282,615
Mesa AZ,607,649
Miami FL,1642,928
Midland TX,910,751
Milwaukee WI,1313,298
Minneapolis MN,1170,250
Missoula MT,626,137
Mobile AL,1358,774
Montgomery AL,1400,715
Montpelier VT,1725,190
Myrtle Beach SC,1630,631
Nashville TN,1365,565
New Orleans LA,1277,815
New York City NY,1730,320
Norfolk VA,1692,492
Oakland CA,333,422
Odessa TX,899,759
Ogden UT,631,363
Oklahoma City OK,1046,614
Olympia WA,387,85
Omaha NE,1093,385
Orlando FL,1579,818
Pensacola FL,1387,790
Philadelphia PA,1675,372
Phoenix AZ,576,641
Pierre SD,991,271
Pittsburgh PA,1559,377
Portland ME,1795,184
Portland OR,372,138
Providence RI,1778,279
Raleigh NC,1655,534
Rapid City SD,895,276
Redding CA,333,317
Reno NV,406,356
Richmond VA,1648,456
Riverside CA,437,605
Roanoke VA,1579,501
Rochester MN,1010,203
Rochester NY,1633,254
Sacramento CA,337,399
Salem OR,354,151
Salt Lake City UT,632,387
San Antonio TX,1002,850
San Diego CA,421,653
San Francisci CA,316,437
San Jose CA,329,466
Santa Fe NM,795,568
Santa Monica CA,354,566
Savannah GA,1583,704
Scottsbluff NE,872,355
Seattle WA,428,26
Shreveport LA,1169,734
Sioux Falls SD,1065,303
Spokane WA,523,86
Springfield  IL,1281,444
Springfield MO,1188,546
St. Paul MN,1177,263
St.Louis MO,1260,479
Tacoma WA,413,67
Tallahassee FL,1481,783
Tampa FL,1558,863
Topeka KS,1109,487
Trenton NJ,1706,357
Tucson AZ,614,695
Tulsa OK,1094,588
Vancouver WA,386,117
Virginia City NV,426,370
Washington DC,1704,447
Wichita KS,1059,533
Yuma AZ,499,672
