Albany NY,Rochester NY,226
Albany NY,Buffalo NY,289
Albany NY,New York City NY,150
Albany NY,Montpelier VT,158
Albany NY,Concord NH,150
Albany NY,Boston MA,169
Albany NY,Providence RI,163
Albany NY,Hartford CT,113
Albany NY,Harrisburg PA,293
Albany NY,Trenton NJ,195
Albany NY,Philadelphia PA,233
Albuquerque NM,Santa Fe NM,64
Albuquerque NM,Las Cruces NM,223
Albuquerque NM,Mesa AZ,405
Albuquerque NM,Flagstaff AZ,322
Albuquerque NM,Tucson AZ,449
Albuquerque NM,Odessa TX,402
Albuquerque NM,Amarillo TX,288
Amarillo TX,El Paso TX,438
Amarillo TX,Las Cruces NM,416
Amarillo TX,Albuquerque NM,288
Amarillo TX,Santa Fe NM,279
Amarillo TX,Lubbock TX,124
Annapolis MD,Dover DE,65
Annapolis MD,Philadelphia PA,125
Annapolis MD,Harrisburg PA,112
Annapolis MD,Pittsburgh PA,269
Annapolis MD,Washington DC,32
Annapolis MD,Richmond VA,135
Annapolis MD,Norfolk VA,208
Atlanta GA,Charlotte NC,245
Atlanta GA,Columbia SC,215
Atlanta GA,Myrtle Beach SC,140
Atlanta GA,Charleston SC,299
Atlanta GA,Savannah GA,248
Atlanta GA,Columbus GA,107
Atlanta GA,Jacksonville FL,346
Atlanta GA,Tallahassee FL,272
Atlanta GA,Montgomery AL,161
Atlanta GA,Birmingham AL,147
Atlanta GA,Nashville TN,250
Atlanta GA,Knoxville TN,214
Augusta ME,Portland ME,56
Augusta ME,Montpelier VT,180
Austin TX,Houston TX,165
Austin TX,San Antonio TX,80
Austin TX,Dallas TX,195
Austin TX,Fort Worth TX,189
Austin TX,Midland TX,317
Austin TX,Lubbock TX,380
Austin TX,El Paso TX,576
Baton Rouge LA,Little Rock AR,343
Baton Rouge LA,Jackson MS,159
Baton Rouge LA,Biloxi MS,150
Baton Rouge LA,New Orleans LA,81
Baton Rouge LA,Shreveport LA,247
Baton Rouge LA,Houston TX,268
Beverly Hills CA,Santa Monica CA,9
Beverly Hills CA,Sacramento CA,383
Beverly Hills CA,San Jose CA,338
Beverly Hills CA,Fresno CA,217
Beverly Hills CA,Los Angeles CA,13
Billings MT,Helena MT,233
Billings MT,Casper WY,275
Billings MT,Idaho Falls ID,337
Billings MT,Bismarck ND,415
Biloxi MS,Jackson MS,165
Biloxi MS,Mobile AL,63
Biloxi MS,New Orleans LA,93
Biloxi MS,Baton Rouge LA,150
Birmingham AL,Atlanta GA,147
Birmingham AL,Columbus GA,142
Birmingham AL,Montgomery AL,95
Birmingham AL,Mobile AL,259
Birmingham AL,Pensacola FL,253
Birmingham AL,Jackson MS,237
Birmingham AL,Memphis TN,245
Birmingham AL,Nashville TN,192
Birmingham AL,Knoxville TN,257
Bismarck ND,Fargo ND,196
Bismarck ND,Grand Forks ND,253
Bismarck ND,Billings MT,415
Boise ID,Idaho Falls ID,280
Boise ID,Coeur d'Alene ID,458
Boise ID,Portland OR,436
Boise ID,Eugene OR,452
Boise ID,Missoula MT,364
Boston MA,Montpelier VT,180
Boston MA,Providence RI,51
Boston MA,Concord NH,70
Boston MA,Hartford CT,100
Boston MA,Albany NY,169
Brownsville TX,Laredo TX,208
Brownsville TX,Corpus Christi TX,161
Buffalo NY,Erie PA,92
Buffalo NY,Rochester NY,77
Buffalo NY,Albany NY,289
Buffalo NY,New York City NY,374
Buffalo NY,Pittsburgh PA,215
Buffalo NY,Harrisburg PA,280
Buffalo NY,Philadelphia PA,360
Buffalo NY,Trenton NJ,390
Carson City NV,Reno NV,32
Carson City NV,Virginia City NV,15
Carson City NV,Redding CA,227
Carson City NV,Sacramento CA,130
Carson City NV,Fresno CA,268
Casper WY,Cheyenne WY,178
